"cluster","haematopoietic","T_cell","B_cell","plasma_cell","osteoblast","osteocyte","MSC_stroma","adipocyte","endothelial","erythroid","chondrocyte","mural_muscle"
"19",1.6647557583418,-0.171738645784389,-0.411848249158524,-0.131704177409689,0.126215165008895,-0.312819726617413,0.81901929958452,1.7714415550037,0.354200473011586,0.918126824117826,-0.392855851419043,-0.0183710546094966
"2",-0.402805729753939,1.85527581987828,-0.188916848288197,-0.32131177717901,-0.388065742922469,-0.220206218825232,-0.368297185587823,-0.295013797601079,-0.189511412013397,-0.420519124411621,-0.16542634492518,-0.0178049497077479
"20",-0.491529093506554,-0.358169039868564,-0.276348495019949,-0.64963962512309,0.262044138786554,0.512095320314782,1.10373420614708,0.778685393140413,-0.368381558972053,-0.0541732122273899,0.59508235507974,3.86365918940994
"21",0.433010167226223,-0.659145896045327,0.236871599952479,0.882074341032538,-0.0197976444454283,0.581080331513929,-0.369070419938226,-0.539047806378291,-0.113979129769721,-0.740794747894935,-0.376082066800506,-0.517172391181248
"22",-0.163806758957341,1.6009070971606,0.918286772823296,-0.392905972600808,-0.300601266763853,-0.281149553712655,-0.285043859361274,-0.369596994022182,0.111634166806462,-0.625408168531081,-0.296994749695177,0.1811230804888
"23",-0.121685566440305,-1.14647505502665,-0.631759378736665,-0.303815614224868,-0.282845214997974,-0.407978917530494,-0.769300910673619,-0.291566183220062,0.0902509848652344,-0.459916792701931,-0.319210796952356,0.0816680846914928
"24",-0.978062908129444,1.91579167459958,0.0922113825423381,-0.781540593422537,-0.0917290051252119,-0.407978917530494,-0.493938243903466,-0.474818819404672,-0.591964855035476,-0.641812505218041,-0.720648101706424,-0.45821531660604
"25",0.596665112201469,-1.00986705896018,-1.16659115831493,-0.252595438689623,-0.176036224166483,-0.407978917530494,-0.229656421326618,-0.256650346277562,-0.223409058782263,-0.269754277184962,0.539834175475823,-0.353488091491803
"3",0.0256679999989484,-0.57349260294565,-0.265471679898203,0.170846064596603,-0.186270387746694,-0.342994997041045,-0.53740729992676,-0.0472079737461098,-0.0572300167274138,-0.318475759169221,-0.0778706284858792,-0.285457311750322
"4",1.57877875861181,-0.544748517650624,-0.504983091589956,-0.610823210174382,-0.366932391445705,-0.306471207114509,-0.101210636236569,0.274475236064786,0.307288311106691,-0.603958055789179,-0.207700710441633,-0.39145066832988
"5",0.383657319441209,0.243254146064045,-0.0700456457980262,0.277638307038943,0.37181875738406,-0.140520670318414,0.118922655125081,0.102346644639644,-0.00236182667069817,0.0840629105083095,0.182244510735727,-0.252915615030471
"6",0.416083993613459,0.354384859302408,0.357424714869836,0.198908778927425,0.261556216821106,-0.123505694628449,-0.147566052396458,-0.189508749739526,0.110522387510314,0.0558884611574236,0.412772108042267,-0.0631453090206787
"7",0.815463180915035,0.087767688812945,-0.283242161357432,-0.0229894218911771,0.664526705401333,-0.215957498515115,0.296245344183094,0.210298038380192,0.45560577246835,0.0509649785410281,0.213572562434178,-0.108028011165719
