ensg_b,symbol,name
ENSG00000168067,MAP4K2,mitogen-activated protein kinase kinase kinase kinase 2
ENSG00000168071,CCDC88B,coiled-coil and HOOK domain protein 88B
ENSG00000168077,SCARA3,scavenger receptor class A member 3
ENSG00000168078,PBK,PDZ binding kinase
ENSG00000168079,SCARA5,scavenger receptor class A member 5
ENSG00000168090,COPS6,COP9 signalosome subunit 6
ENSG00000168092,PAFAH1B2,platelet activating factor acetylhydrolase 1b catalytic subunit 2
ENSG00000168096,ANKS3,ankyrin repeat and sterile alpha motif domain containing 3
ENSG00000168101,NUDT16L1,nudix hydrolase 16 like 1
ENSG00000168116,KIAA1586,KIAA1586
ENSG00000168118,RAB4A,"RAB4A, member RAS oncogene family"
ENSG00000168137,SETD5,SET domain containing 5
ENSG00000168140,VASN,vasorin
ENSG00000168152,THAP9,THAP domain containing 9
ENSG00000168159,RNF187,ring finger protein 187
ENSG00000168172,HOOK3,hook microtubule tethering protein 3
ENSG00000168175,MAPK1IP1L,mitogen-activated protein kinase 1 interacting protein 1 like
ENSG00000168209,DDIT4,DNA damage inducible transcript 4
ENSG00000168214,RBPJ,recombination signal binding protein for immunoglobulin kappa J region
ENSG00000168216,LMBRD1,LMBR1 domain containing 1
ENSG00000168228,ZCCHC4,zinc finger CCHC-type containing 4
ENSG00000168229,PTGDR,prostaglandin D2 receptor
ENSG00000168234,TTC39C,tetratricopeptide repeat domain 39C
ENSG00000168237,GLYCTK,glycerate kinase
ENSG00000168243,GNG4,G protein subunit gamma 4
ENSG00000168246,UBTD2,ubiquitin domain containing 2
ENSG00000168256,NKIRAS2,NFKB inhibitor interacting Ras like 2
ENSG00000168259,DNAJC7,DnaJ heat shock protein family (Hsp40) member C7
ENSG00000168263,KCNV2,potassium voltage-gated channel modifier subfamily V member 2
ENSG00000168264,IRF2BP2,interferon regulatory factor 2 binding protein 2
ENSG00000168268,NT5DC2,5'-nucleotidase domain containing 2
ENSG00000168273,UQCC5,ubiquinol-cytochrome c reductase complex assembly factor 5
ENSG00000168275,COA6,cytochrome c oxidase assembly factor 6
ENSG00000168280,KIF5C,kinesin family member 5C
ENSG00000168282,MGAT2,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
ENSG00000168283,BMI1,"BMI1 proto-oncogene, polycomb ring finger"
ENSG00000168286,THAP11,THAP domain containing 11
ENSG00000168288,MMADHC,metabolism of cobalamin associated D
ENSG00000168291,PDHB,pyruvate dehydrogenase E1 subunit beta
ENSG00000168297,PXK,PX domain containing serine/threonine kinase like
ENSG00000168298,H1-4,"H1.4 linker histone, cluster member"
ENSG00000168300,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
ENSG00000168301,KCTD6,potassium channel tetramerization domain containing 6
ENSG00000168303,MPLKIP,M-phase specific PLK1 interacting protein
ENSG00000168306,ACOX2,acyl-CoA oxidase 2
ENSG00000168309,FAM107A,family with sequence similarity 107 member A
ENSG00000168310,IRF2,interferon regulatory factor 2
ENSG00000168334,XIRP1,xin actin binding repeat containing 1
ENSG00000168350,DEGS2,"delta 4-desaturase, sphingolipid 2"
ENSG00000168356,SCN11A,sodium voltage-gated channel alpha subunit 11
ENSG00000168374,ARF4,ARF GTPase 4
ENSG00000168385,SEPTIN2,septin 2
ENSG00000168386,FILIP1L,filamin A interacting protein 1 like
ENSG00000168389,MFSD2A,"MFSD2 lysolipid transporter A, lysophospholipid"
ENSG00000168393,DTYMK,deoxythymidylate kinase
ENSG00000168394,TAP1,"transporter 1, ATP binding cassette subfamily B member"
ENSG00000168395,ING5,inhibitor of growth family member 5
ENSG00000168397,ATG4B,autophagy related 4B cysteine peptidase
ENSG00000168398,BDKRB2,bradykinin receptor B2
ENSG00000168404,MLKL,mixed lineage kinase domain like pseudokinase
ENSG00000168405,CMAHP,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene"
ENSG00000168411,RFWD3,ring finger and WD repeat domain 3
ENSG00000168421,RHOH,ras homolog family member H
ENSG00000168427,KLHL30,kelch like family member 30
ENSG00000168434,COG7,component of oligomeric golgi complex 7
ENSG00000168438,CDC40,cell division cycle 40
ENSG00000168439,STIP1,stress induced phosphoprotein 1
ENSG00000168447,SCNN1B,sodium channel epithelial 1 subunit beta
ENSG00000168453,HR,HR lysine demethylase and nuclear receptor corepressor
ENSG00000168461,RAB31,"RAB31, member RAS oncogene family"
ENSG00000168476,REEP4,receptor accessory protein 4
ENSG00000168477,TNXB,tenascin XB
ENSG00000168487,BMP1,bone morphogenetic protein 1
