ensg,immune,erythroid,skeletal,vasculature
NECTIN3,-0.20743864124395728,-2.955598008830572,2.1691745079746627,0.9938621420998675
CD96,3.3491534756802137,-2.191369189670909,-1.1805861323423872,0.022801846333082132
ZBED2,0.30611043019825995,-0.10203681006608666,-0.10203681006608666,-0.10203681006608666
PLCXD2,1.9866121238969465,-0.9958732414155402,-0.2565734771601268,-0.7341654053212794
PHLDB2,-1.2318366353735763,-3.8457619430326893,0.6136189686431144,4.463979609763151
ABHD10,-0.06636045918809996,-0.0874209346993462,-0.1549368316912627,0.30871822557870887
C3orf52,0.4637864356549519,-1.6954529440297679,0.6794300490075456,0.5522364593672706
GCSAM,2.743700193906213,-0.9284005716201671,-0.735198066993428,-1.0801015552926174
AC128688.2,0.5021667819445452,-0.28235675674791155,0.0625467315512779,-0.28235675674791155
SLC9C1,0.03125141242019902,-0.2615825066107357,-0.2615825066107357,0.49191360080127233
CD200,-1.5318606891224449,-3.7409947570210775,2.245959118399002,3.0268963277445198
BTLA,1.5226212755537292,-0.9052507688461269,0.23340749244949865,-0.8507779991571007
ATG3,0.2605421426998893,0.6710287529552987,-0.6627463258474915,-0.26882456980769653
SLC35A5,-0.39491461760691493,-1.691161143938813,1.0731089440895567,1.0129668174561717
CCDC80,-4.849106407981582,-4.82446258518207,6.260246379404288,3.4133226137593637
CD200R1,1.8509351613921003,-1.3945037232598119,-0.15420017243073136,-0.3022312657015569
AC074044.1,0.5024185398855199,-0.23087696933664165,0.03668095887515563,-0.3082225294240339
GTPBP8,-0.1722169400396356,-0.1703781436538261,0.14277375470756626,0.19982132898589589
NEPRO,0.20618152002846646,-1.5345116755086021,0.6803752099370235,0.6479549455431113
BOC,-3.1042511415056637,-3.1384351808333006,4.777154826058496,1.4655314962804682
CFAP44,-0.9238132424977936,-1.6519995060747201,1.8928758496688582,0.6829368989036548
SPICE1,-0.41715826080788254,-0.3827377686106077,0.8096823511036111,-0.009786321685119503
SIDT1,2.844190996829735,-1.6584943154198868,-1.3801637389643377,0.1944670575544898
SIDT1-AS1,1.3166667058749622,-0.5538567313913839,-0.20895324309219437,-0.5538567313913839
USF3,0.5098471733931307,-1.7189755389906267,0.5051350208771135,0.7039933447203839
NAA50,-0.05653632845369572,0.8443010651412557,-0.39284422521643325,-0.3949205114711276
ATP6V1A,0.37867713836227335,0.13737619813450674,-0.354444086860525,-0.1616092496362569
GRAMD1C,-0.1553493098187928,-1.7269117211374063,0.15380815273472703,1.7284528782214723
AC128687.2,-0.054976823918995776,-0.27867464133628933,0.6123261065915745,-0.27867464133628933
ZDHHC23,1.6884977224061803,-1.5352919007555614,-1.0814710844770112,0.9282652628263923
CCDC191,1.7567042807371052,-2.6918834592726206,0.5551784575323127,0.3800007210032028
QTRT2,0.4013466322351418,-2.208004122463772,0.35473658594092594,1.4519209042877042
AC093010.2,2.0177978695427505,-0.8279524993555225,-0.48299378171035257,-0.7068515884768758
ZNF80,1.6505435416257792,-0.7956177231262862,0.018037464714185436,-0.8729632832136783
TIGIT,3.2005567825471264,-1.6746052701224095,-1.381743142992605,-0.14420836943211213
ZBTB20,-0.5811867647831885,-4.1110898907444025,2.5215559926474436,2.1707206628801474
ZBTB20-AS5,0.09468626871351515,-0.14652991900423487,0.19837356929495462,-0.14652991900423487
ZBTB20-AS2,-0.14176930719635372,-1.4171815417970333,1.1271494304294412,0.4318014185639456
ZBTB20-AS4,0.20072308833656866,-0.23816895542387903,-0.1855733760127541,0.22301924310006443
GAP43,-0.9383651288366819,-0.9775016421753481,2.893368413187378,-0.9775016421753481
LSAMP,-0.4861052339997892,-0.7789391530307239,2.043983540061237,-0.7789391530307239
AC068633.1,0.11398796346668899,-0.03799598782222966,-0.03799598782222966,-0.03799598782222966
IGSF11,-0.32794060772341693,-0.4918112353537747,1.3889086385183587,-0.569156795441167
B4GALT4,0.47041186617736663,-1.824033152755797,1.3995384949301357,-0.045917208351705874
ARHGAP31,-0.6760540957109451,-3.3002546699953212,0.45409379116121196,3.5222149745450544
ARHGAP31-AS1,0.1276234646123175,-0.0425411548707725,-0.0425411548707725,-0.0425411548707725
TMEM39A,0.5446442511487444,-1.5774946215397394,1.170972194805867,-0.13812182441487053
POGLUT1,0.05563119620518586,-1.4472721348340811,0.5141086068565701,0.877532331772326
AC073352.1,-0.12031970730731223,-0.016186860776188916,-0.30849476966425343,0.4450013377477546
TIMMDC1,-0.9214263886907617,-0.5415610913439304,0.6121987740854768,0.8507887059492152
CD80,0.7645438105193495,-0.2548479368397832,-0.2548479368397832,-0.2548479368397832
AC073352.2,0.07627420685460928,-0.7580834800257314,-0.8354290401131238,1.517238313284246
ADPRH,-0.05672753887030435,-2.42806151532286,0.20263105171994455,2.28215800247322
PLA1A,-0.7610795759119786,-1.1392608087598979,-0.8717028805481005,2.7720432652199767
POPDC2,-1.143475183700631,-1.398089664761167,-0.026760600220327335,2.568325448682125
COX17,-0.12215578744115962,-0.3157529183941863,-0.23213308493517992,0.6700417907705267
MAATS1,-1.0899367497623549,-1.3721623498439113,0.8798142708394977,1.5822848287667681
NR1I2,0.29406834497470224,-0.09802278165823408,-0.09802278165823408,-0.09802278165823408
GSK3B,-0.02221893297978994,-1.1937563422835709,0.19547884533600168,1.0204964299273591
AC092910.3,-0.30042654903574384,-0.09111536006582821,0.29781070810530175,0.09373120099627008
LRRC58,0.2247359507979807,-1.2429313813926308,0.9310499806844472,0.08714544991020112
FSTL1,-3.8783004121941076,-4.514005820159945,5.625934243062694,2.766371989291359
NDUFB4,-0.446369615957634,-0.42398957187504926,0.31346094383808243,0.5568982439946026
RABL3,-0.41444299587810907,-0.4613069659901119,-0.10680387411876158,0.9825538359869816
GTF2E1,-0.33439474978056705,-0.29803184804133354,0.32044428942742,0.3119823083944806
POLQ,0.670154115177297,3.3298154943650795,-1.761188840690612,-2.2387807688517647
