gene_set,term,p,adj,combined,n_genes,genes
GO_Cellular_Component_2023,Collagen-Containing Extracellular Matrix (GO:0062023),0.00022065021948353112,0.02780192765492492,29.089782616785723,13,COL15A1;LAMA2;SDC2;ANXA5;DPT;ANXA11;FBLN2;MFAP5;EFEMP1;CILP
GTEx_Tissue_Expression_Up,GTEX-X261-0226-SM-3NMD2 adipose tissue male 50-59 years,0.0014998489455535246,0.027968337068046176,14.862531195347971,19,RAMP2;GSN;NEGR1;LAMA2;CAV1;MCM9;SHOX2;EBF2;MEOX2;GNAI1
GTEx_Tissue_Expression_Up,GTEX-WH7G-1126-SM-3NMBK adipose tissue male 40-49 years,0.0015222393222040181,0.02806161268088974,15.1780511317482,18,GSDMB;RAMP2;GSN;ACSS2;LAMA2;PDE1B;EBF2;ADAMTS12;BARX1;F3
GTEx_Tissue_Expression_Up,GTEX-RTLS-2626-SM-46MUJ stomach female 60-69 years,0.001524143968229831,0.02806161268088974,15.590916343979735,17,IGHM;IGHV5-51;IGHV3-30;BARX1;F3;OASL;IGLV2-8;IGLV1-40;IGLV6-57;IGLV2-14
GTEx_Tissue_Expression_Up,GTEX-PVOW-0726-SM-2XCF5 blood vessel male 40-49 years,0.0015943429633311964,0.029169457108996544,13.304066808523505,24,SMIM14;TCF7L2;SEC23A;COL15A1;PLEKHH2;NEGR1;SDC2;ATP2B4;MEOX2;ADAMTS12
GO_Biological_Process_2023,Embryonic Eye Morphogenesis (GO:0048048),9.94645520003006e-05,0.029764767186089953,427.8598528653119,3,MFAP5;EFEMP1;MFAP2
GTEx_Tissue_Expression_Up,GTEX-OHPM-1426-SM-3TW8Y colon male 50-59 years,0.0016489104179178034,0.02997925253576806,13.649199211109895,22,IGHV5-51;TCF7L2;GSDMB;ACSS2;IGKV1-5;IGHV4-34;IGLV3-1;GBA2;ABO;IGLV2-8
GTEx_Tissue_Expression_Up,GTEX-UJHI-1326-SM-4IHJO vagina female 50-59 years,0.0017198235228388003,0.031074326881602922,15.116076134271433,17,GSTM2;SEMA3C;OGG1;ATP2B4;SNX21;TRHDE;GLIS1;TBX3;LRP6;MFAP5
GTEx_Tissue_Expression_Up,GTEX-UJHI-1126-SM-4IHLN colon female 50-59 years,0.0017435492888085943,0.03130854864903828,11.827121774890475,32,IGHM;ACSS2;IGLV3-1;GBA2;ABO;CLYBL;IGLV2-8;HOXA-AS3;IGLV3-25;IGHG4
GTEx_Tissue_Expression_Up,GTEX-R55C-1126-SM-48FCJ colon male 40-49 years,0.001759218205362852,0.03139610895337753,13.97018965396694,20,IGHM;IGHV5-51;TCF7L2;GSDMB;ACSS2;IGKV1-5;IGLV3-1;GBA2;ABO;IGLV2-8
GTEx_Tissue_Expression_Up,GTEX-QLQW-1226-SM-2S1Q9 adipose tissue male 30-39 years,0.0017739175498019213,0.03146540336813286,13.408774682556796,22,METTL2B;COL15A1;GSN;ACSS2;SEMA3C;CAV1;TSHZ2;ANXA5;ATP2B4;COPZ2
GTEx_Tissue_Expression_Up,GTEX-U3ZN-2126-SM-4DXU1 colon female 30-39 years,0.001865796705957099,0.03289456131896485,11.441675155063658,34,IGHM;ACSS2;IGHV4-34;IGLV3-1;GBA2;ABO;CLYBL;IGLV2-8;HOXA-AS3;IGLV3-25
GTEx_Tissue_Expression_Up,GTEX-XMK1-1726-SM-4B64Z colon male 40-49 years,0.0019156554144335,0.03357013012401838,11.373220912382864,34,ACSS2;IGHV4-34;IGLV3-1;GBA2;ABO;CLYBL;OASL;IGLV2-8;HOXA-AS3;IGLV3-25
GTEx_Tissue_Expression_Up,GTEX-WL46-2026-SM-3LK7U adipose tissue male 50-59 years,0.0019309805745951231,0.0336360628233366,15.101864791415176,16,RAMP2;COL15A1;GSN;NEGR1;SEMA3C;TSHZ2;EBF2;DPT;MEOX2;NR3C1
GTEx_Tissue_Expression_Up,GTEX-WY7C-2426-SM-3NB2V adipose tissue male 50-59 years,0.002051398530308151,0.03526679955960433,14.064961059929196,18,RAMP2;ACSS2;ANXA5;ADAMTS12;FBLN2;SCAMP3;CPN2;MFAP5;PALMD;CILP
GTEx_Tissue_Expression_Up,GTEX-T8EM-1126-SM-3DB7D adipose tissue male 40-49 years,0.002051398530308151,0.03526679955960433,14.064961059929196,18,TCF7L2;RAMP2;COL15A1;GSN;EBF2;DPT;SLC35G2;MEOX2;NR3C1;F3
GTEx_Tissue_Expression_Up,GTEX-O5YV-0526-SM-2I5GE lung female 60-69 years,0.002060968004514519,0.03526679955960433,13.160589492974156,21,IGHV5-51;COL15A1;IGHV3-30;LAMA2;ANXA5;IGKV1-5;IGHV4-34;IGLV3-1;ADAMTS12;TBX5
GTEx_Tissue_Expression_Up,GTEX-R55D-0826-SM-48FEA breast male 50-59 years,0.0021133078706855888,0.035862689079594084,14.324187481991299,17,GSDMB;RAMP2;GSN;ACSS2;ANXA5;EBF2;DPT;CCDC107;F3;GNAI1
GTEx_Tissue_Expression_Up,GTEX-RM2N-0926-SM-48FD1 colon male 50-59 years,0.0021204477558233697,0.035862689079594084,11.527156360935066,30,ACSS2;IGHV4-34;IGLV3-1;GBA2;ABO;CLYBL;IGLV2-8;HOXA-AS3;IGLV3-25;IGLV1-40
GTEx_Tissue_Expression_Up,GTEX-S7SF-1926-SM-4AT5B colon female 20-29 years,0.002159888006425878,0.03631857925255999,12.021168865643586,26,IGHM;ACSS2;GBA2;ABO;CLYBL;IGLV2-8;HOXA-AS3;IGLV1-40;IGLV2-14;CA2
GTEx_Tissue_Expression_Up,GTEX-QMRM-1726-SM-2S1QG adipose tissue male 50-59 years,0.0022205235339941066,0.03706120892717227,13.457123625879964,19,TCF7L2;GSDMB;ACSS2;CAV1;TSHZ2;ANXA5;EBF2;DPT;ADAMTS12;NR3C1
