ensg,symbol,name,pct_loc_M3,pct_loc_M1,pct_loc_M2,pct_Hemato,pct_Bone
ENSG00000151623.15,,,0.6397,0.4693,0.1217,0.0000,0.2803
ENSG00000225793.3,,,0.6397,0.4724,0.0000,0.0004,0.3283
ENSG00000213366.13,,,0.6395,0.5406,0.1197,0.0752,0.2560
ENSG00000116984.13,,,0.6390,0.3678,0.0000,0.0893,0.2321
ENSG00000170631.15,,,0.6378,0.5113,0.0000,0.0164,0.2334
ENSG00000148180.19,,,0.6376,0.5037,0.0653,0.0025,0.3100
ENSG00000100815.12,,,0.6370,0.4045,0.0000,0.0349,0.2995
ENSG00000119760.16,,,0.6359,0.4163,0.0000,0.0637,0.2845
ENSG00000266378.1,,,0.6355,0.6099,0.0112,0.0404,0.2916
ENSG00000203799.13,,,0.6349,0.3521,0.0000,0.0028,0.3392
ENSG00000198130.16,,,0.6349,0.5214,0.0000,0.0006,0.3319
ENSG00000123130.17,,,0.6347,0.3499,0.0000,0.1587,0.1827
ENSG00000215193.12,,,0.6345,0.4608,0.0000,0.1575,0.2012
ENSG00000136717.15,,,0.6345,0.4152,0.0054,0.0153,0.3257
ENSG00000049618.23,,,0.6344,0.4254,0.0000,0.1142,0.2141
ENSG00000204463.12,,,0.6342,0.5375,0.0000,0.2593,0.0693
ENSG00000174332.5,,,0.6341,0.5483,0.0000,0.0039,0.3254
ENSG00000116977.18,,,0.6339,0.3062,0.0000,0.0426,0.2771
ENSG00000012171.20,,,0.6333,0.3720,0.0379,0.0085,0.3120
ENSG00000100934.15,,,0.6332,0.5848,0.0000,0.0000,0.3313
ENSG00000105221.18,,,0.6329,0.3194,0.1925,0.0107,0.3252
ENSG00000134030.14,,,0.6329,0.4330,0.0000,0.0328,0.2786
ENSG00000102606.18,,,0.6316,0.3634,0.0000,0.0585,0.2902
ENSG00000174227.16,,,0.6316,0.3578,0.0000,0.0919,0.2478
ENSG00000099260.11,,,0.6296,0.5846,0.0000,0.0023,0.3397
ENSG00000162604.12,,,0.6294,0.3976,0.0495,0.0937,0.2506
ENSG00000197386.12,,,0.6291,0.3646,0.0000,0.0788,0.2437
ENSG00000169946.14,,,0.6290,0.5281,0.2586,0.0139,0.3431
ENSG00000163832.16,,,0.6289,0.3920,0.0000,0.0205,0.3163
ENSG00000128731.17,,,0.6289,0.2771,0.0000,0.0149,0.3119
ENSG00000162496.9,,,0.6289,0.4769,0.2697,0.0084,0.3389
ENSG00000196458.11,,,0.6289,0.5016,0.0000,0.0003,0.3448
ENSG00000287134.1,,,0.6288,0.4437,0.2957,0.0560,0.3039
ENSG00000162337.12,,,0.6288,0.3444,0.0000,0.0002,0.3260
ENSG00000165102.15,,,0.6286,0.3088,0.0000,0.0033,0.3202
ENSG00000008256.16,,,0.6285,0.3439,0.2087,0.1076,0.2440
ENSG00000246922.8,,,0.6283,0.3230,0.0000,0.0802,0.2107
ENSG00000274523.5,,,0.6281,0.3715,0.0000,0.0777,0.2801
ENSG00000141338.14,,,0.6274,0.4748,0.0245,0.0001,0.3319
ENSG00000143801.17,,,0.6271,0.4506,0.0000,0.0319,0.3160
ENSG00000164011.18,,,0.6268,0.4814,0.0000,0.0296,0.3090
ENSG00000070610.14,,,0.6261,0.6020,0.2359,0.2255,0.0940
ENSG00000133131.15,,,0.6259,0.5596,0.0000,0.0151,0.3536
ENSG00000121067.19,,,0.6259,0.3688,0.0000,0.1124,0.2438
ENSG00000229619.4,,,0.6257,0.3433,0.0699,0.0334,0.2880
ENSG00000089057.15,,,0.6253,0.3824,0.0000,0.0865,0.2652
ENSG00000185825.17,,,0.6251,0.3043,0.0434,0.0018,0.3482
ENSG00000196154.12,,,0.6250,0.3680,0.0000,0.3013,0.0156
ENSG00000147526.20,,,0.6249,0.3613,0.0909,0.0022,0.3381
ENSG00000152492.15,,,0.6249,0.4371,0.0493,0.0000,0.3344
ENSG00000105974.12,,,0.6249,0.5609,0.0000,0.0044,0.3431
ENSG00000177469.13,,,0.6247,0.5652,0.0000,0.0205,0.3047
ENSG00000104267.10,,,0.6246,0.7051,0.0129,0.0815,0.2454
ENSG00000104133.15,,,0.6240,0.2638,0.0000,0.0626,0.2713
ENSG00000164850.15,,,0.6240,0.3017,0.1461,0.0222,0.3073
ENSG00000050327.15,,,0.6231,0.3599,0.0000,0.0034,0.3532
ENSG00000249669.10,,,0.6229,0.3993,0.1595,0.0113,0.3491
ENSG00000250903.9,,,0.6227,0.2667,0.0000,0.1298,0.2112
ENSG00000287299.1,,,0.6224,0.5508,0.0000,0.0038,0.3485
ENSG00000124104.19,,,0.6222,0.5085,0.0582,0.0156,0.3314
ENSG00000075223.14,,,0.6218,0.5230,0.0000,0.0015,0.3311
ENSG00000103351.13,,,0.6210,0.4747,0.0000,0.0229,0.3353
ENSG00000081665.14,,,0.6209,0.2408,0.0035,0.2031,0.1345
ENSG00000225439.3,,,0.6203,0.3122,0.0000,0.0416,0.3021
ENSG00000139644.13,,,0.6202,0.2867,0.0000,0.0420,0.3127
ENSG00000112640.15,,,0.6200,0.3533,0.0000,0.0480,0.3073
ENSG00000125124.12,,,0.6200,0.3175,0.1721,0.1363,0.2195
ENSG00000102225.16,,,0.6192,0.3116,0.0000,0.1225,0.2235
ENSG00000169895.6,,,0.6191,0.2502,0.0000,0.1184,0.2245
ENSG00000262209.3,,,0.6189,0.3448,0.0000,0.0219,0.3202
ENSG00000066933.16,,,0.6186,0.3359,0.0000,0.0351,0.3232
ENSG00000215845.11,,,0.6186,0.4755,0.0534,0.2991,0.0159
ENSG00000025434.19,,,0.6183,0.3143,0.2490,0.0126,0.3016
ENSG00000186174.12,,,0.6183,0.3227,0.0000,0.0013,0.3668
ENSG00000110651.11,,,0.6180,0.4159,0.0000,0.0085,0.3641
ENSG00000102978.13,,,0.6179,0.2304,0.0000,0.2130,0.1312
ENSG00000144824.21,,,0.6177,0.4332,0.0000,0.0012,0.3554
ENSG00000133056.13,,,0.6177,0.2884,0.4562,0.0703,0.2899
ENSG00000047249.18,,,0.6175,0.2180,0.0000,0.1002,0.2302
ENSG00000154262.13,,,0.6171,0.4677,0.0642,0.0293,0.3290
ENSG00000153879.9,,,0.6168,0.3691,0.0000,0.0240,0.3372
ENSG00000122299.12,,,0.6168,0.3015,0.0000,0.1214,0.2301
ENSG00000278318.5,,,0.6167,0.5315,0.0000,0.0723,0.2996
ENSG00000101290.14,,,0.6166,0.2581,0.0000,0.0594,0.2927
ENSG00000221968.9,,,0.6163,0.2044,0.0000,0.0022,0.3254
ENSG00000115306.16,,,0.6154,0.4297,0.0191,0.0216,0.3127
ENSG00000090857.13,,,0.6153,0.2246,0.0088,0.0087,0.3303
ENSG00000198718.13,,,0.6153,0.3288,0.0126,0.1173,0.2270
ENSG00000104388.15,,,0.6153,0.4240,0.0000,0.1182,0.1584
ENSG00000072210.19,,,0.6146,0.4914,0.0000,0.0200,0.3342
ENSG00000197632.9,,,0.6143,0.6141,0.0000,0.0029,0.0567
ENSG00000099282.10,,,0.6142,0.3738,0.0000,0.0063,0.3422
ENSG00000069431.11,,,0.6142,0.4661,0.2389,0.0089,0.3695
ENSG00000153291.16,,,0.6140,0.4109,0.0000,0.0206,0.3555
ENSG00000085721.12,,,0.6140,0.2801,0.0000,0.0383,0.3220
ENSG00000103353.16,,,0.6139,0.4318,0.0000,0.0118,0.3397
ENSG00000115380.20,,,0.6132,0.5496,0.0495,0.0053,0.3434
ENSG00000167333.13,,,0.6131,0.4008,0.0000,0.0582,0.3131
ENSG00000062725.10,,,0.6129,0.2906,0.0000,0.0028,0.3428
ENSG00000105245.9,,,0.6127,0.4093,0.0000,0.0012,0.3689
ENSG00000161944.16,,,0.6126,0.9014,0.0000,0.2508,0.0277
ENSG00000178772.7,,,0.6126,0.5692,0.0087,0.1081,0.1223
ENSG00000175662.17,,,0.6120,0.2866,0.0000,0.0000,0.3518
ENSG00000044115.21,,,0.6118,0.2907,0.0000,0.0006,0.3549
ENSG00000179364.13,,,0.6112,0.3034,0.0776,0.0119,0.3676
ENSG00000070018.9,,,0.6111,0.5818,0.1441,0.0001,0.3726
ENSG00000164828.18,,,0.6109,0.2861,0.0370,0.0297,0.3440
ENSG00000107815.10,,,0.6107,0.7997,0.0000,0.1252,0.2077
ENSG00000171488.15,,,0.6103,0.2958,0.0320,0.0993,0.2439
ENSG00000184924.5,,,0.6100,0.2465,0.0440,0.1938,0.0130
ENSG00000089289.16,,,0.6099,0.3711,0.0000,0.3013,0.0731
ENSG00000102996.5,,,0.6098,0.3714,0.1120,0.0001,0.3631
ENSG00000103197.18,,,0.6093,0.2154,0.0000,0.0654,0.2919
ENSG00000141627.13,,,0.6093,0.2005,0.0000,0.0730,0.2787
ENSG00000020577.13,,,0.6091,0.4341,0.0000,0.0048,0.3768
ENSG00000127955.17,,,0.6089,0.5116,0.0137,0.0251,0.3299
ENSG00000119943.13,,,0.6074,0.3178,0.1004,0.0031,0.3778
ENSG00000139263.11,,,0.6072,0.4521,0.0191,0.0145,0.3637
ENSG00000154134.15,,,0.6072,0.3190,0.1439,0.0331,0.3437
ENSG00000269386.5,,,0.6069,0.2487,0.0000,0.0001,0.3561
ENSG00000198742.9,,,0.6067,0.1753,0.0000,0.0190,0.3220
ENSG00000281490.1,,,0.6067,0.4682,0.0000,0.0799,0.2887
ENSG00000152818.18,,,0.6065,0.2909,0.0398,0.0577,0.3279
ENSG00000164946.19,,,0.6062,0.4029,0.0000,0.0006,0.3753
ENSG00000165868.14,,,0.6060,0.4972,0.1506,0.0087,0.3680
ENSG00000129422.14,,,0.6056,0.4603,0.0776,0.0263,0.3363
ENSG00000143554.14,,,0.6055,0.2781,0.6572,0.0001,0.3460
ENSG00000038382.20,,,0.6051,0.2570,0.0693,0.0226,0.3612
ENSG00000137871.20,,,0.6049,0.4534,0.0000,0.0002,0.3414
ENSG00000182566.13,,,0.6048,0.5707,0.0000,0.0471,0.3100
ENSG00000006194.10,,,0.6047,0.3618,0.0509,0.1032,0.2507
ENSG00000168038.11,,,0.6047,0.3050,0.0000,0.2536,0.0914
ENSG00000197763.17,,,0.6046,0.4161,0.0000,0.0115,0.3594
ENSG00000134343.14,,,0.6045,0.3680,0.0043,0.0023,0.3721
ENSG00000163884.4,,,0.6038,0.5295,0.0662,0.0608,0.3012
ENSG00000184347.14,,,0.6037,0.6313,0.0428,0.0003,0.3660
ENSG00000102349.18,,,0.6036,0.3927,0.2716,0.0022,0.3762
ENSG00000053501.13,,,0.6035,0.3585,0.1012,0.0498,0.2951
ENSG00000285664.2,,,0.6029,0.2813,0.0000,0.0126,0.3488
ENSG00000103067.14,,,0.6027,0.1551,0.0000,0.0111,0.3389
ENSG00000163637.13,,,0.6025,0.4293,0.0160,0.0031,0.3823
ENSG00000227486.2,,,0.6018,0.2655,0.0000,0.0861,0.2887
ENSG00000119729.12,,,0.6018,0.3503,0.0000,0.0006,0.3718
ENSG00000132681.16,,,0.6017,0.3945,0.0000,0.1001,0.1812
ENSG00000159905.14,,,0.6013,0.3325,0.0000,0.0177,0.3584
ENSG00000162729.14,,,0.6013,0.5198,0.0000,0.0152,0.3422
ENSG00000123815.12,,,0.6013,0.1874,0.0000,0.0032,0.3554
ENSG00000124788.18,,,0.6011,0.2561,0.0000,0.1476,0.2015
ENSG00000119537.18,,,0.6008,0.2749,0.0000,0.0081,0.3453
ENSG00000268205.1,,,0.6008,0.2070,0.0000,0.0255,0.3567
ENSG00000151729.11,,,0.6005,0.2886,0.0000,0.0068,0.3569
ENSG00000157152.17,,,0.6002,0.3019,0.1402,0.0061,0.3616
ENSG00000056972.20,,,0.6001,0.1863,0.0000,0.0048,0.3512
