ensg,symbol,name,pct_loc_M1,pct_loc_M3,pct_loc_M2,pct_Hemato,pct_Bone
ENSG00000166135.14,HIF1AN,hypoxia inducible factor 1 subunit alpha inhibitor,0.5290,0.5718,0.0000,0.3827,0.0060
ENSG00000178772.7,CPN2,carboxypeptidase N subunit 2,0.5692,0.6126,0.0087,0.1081,0.1223
ENSG00000211679.2,IGLC3,immunoglobulin lambda constant 3 (Kern-Oz+ marker),0.8076,0.8524,0.0000,0.0203,0.0137
ENSG00000099260.11,PALMD,palmdelphin,0.5846,0.6296,0.0000,0.0023,0.3397
ENSG00000135114.12,OASL,2'-5'-oligoadenylate synthetase like,0.6040,0.6493,0.0000,0.0484,0.1700
ENSG00000179715.13,PCED1B,PC-esterase domain containing 1B,0.6316,0.6779,0.0000,0.0033,0.2685
ENSG00000114126.17,TFDP2,transcription factor Dp-2,0.6794,0.7267,0.0000,0.1848,0.0482
ENSG00000100934.15,SEC23A,"SEC23 homolog A, COPII component",0.5848,0.6332,0.0000,0.0000,0.3313
ENSG00000099204.20,ABLIM1,actin binding LIM protein 1,0.6205,0.6689,0.0804,0.0076,0.2679
ENSG00000117868.17,ESYT2,extended synaptotagmin 2,0.6942,0.7461,0.0000,0.0195,0.1998
ENSG00000177707.11,NECTIN3,nectin cell adhesion molecule 3,0.6258,0.6831,0.0000,0.0082,0.2798
ENSG00000177469.13,CAVIN1,caveolae associated protein 1,0.5652,0.6247,0.0000,0.0205,0.3047
ENSG00000140153.17,WDR20,WD repeat domain 20,0.6949,0.7562,0.0000,0.0438,0.1318
ENSG00000106511.6,MEOX2,mesenchyme homeobox 2,0.5825,0.6445,0.0651,0.0017,0.2980
ENSG00000151532.13,VTI1A,vesicle transport through interaction with t-SNAREs 1A,0.6097,0.6719,0.0000,0.2227,0.0788
ENSG00000139116.18,KIF21A,kinesin family member 21A,0.6733,0.7358,0.0000,0.0231,0.1868
ENSG00000115380.20,EFEMP1,EGF-like fibulin extracellular matrix protein 1,0.5496,0.6132,0.0495,0.0053,0.3434
ENSG00000105974.12,CAV1,caveolin 1,0.5609,0.6249,0.0000,0.0044,0.3431
ENSG00000277224.2,H2BC7,H2B clustered histone 7,0.5154,0.5796,0.0000,0.1202,0.2546
ENSG00000163683.12,SMIM14,small integral membrane protein 14,0.6144,0.6799,0.0000,0.0178,0.2688
ENSG00000133131.15,MORC4,MORC family CW-type zinc finger 4,0.5596,0.6259,0.0000,0.0151,0.3536
ENSG00000174807.4,CD248,CD248 molecule,0.5271,0.5964,0.1004,0.0004,0.3859
ENSG00000159792.10,PSKH1,protein serine kinase H1,0.5736,0.6435,0.0000,0.0850,0.0444
ENSG00000258479.6,LINC00640,long independently transcribed non-coding RNA 640,0.6031,0.6745,0.0000,0.0017,0.2953
ENSG00000287299.1,,,0.5508,0.6224,0.0000,0.0038,0.3485
ENSG00000139970.17,RTN1,reticulon 1,0.5699,0.6419,0.2058,0.0017,0.3313
ENSG00000169439.12,SDC2,syndecan 2,0.5082,0.5808,0.0000,0.0018,0.4041
ENSG00000092607.15,TBX15,T-box transcription factor 15,0.5058,0.5784,0.0000,0.0042,0.4021
ENSG00000121310.17,ECHDC2,enoyl-CoA hydratase domain containing 2,0.5862,0.6600,0.1907,0.0390,0.2418
ENSG00000163884.4,KLF15,KLF transcription factor 15,0.5295,0.6038,0.0662,0.0608,0.3012
ENSG00000147576.17,ADHFE1,alcohol dehydrogenase iron containing 1,0.5850,0.6597,0.2500,0.0385,0.2532
ENSG00000270021.1,,,0.6008,0.6795,0.0000,0.1185,0.1814
ENSG00000221818.9,EBF2,EBF transcription factor 2,0.5863,0.6657,0.0882,0.0000,0.2985
ENSG00000233967.7,,,0.6043,0.6840,0.0000,0.0101,0.2645
ENSG00000114026.21,OGG1,8-oxoguanine DNA glycosylase,0.7052,0.7854,0.0071,0.0054,0.1482
ENSG00000173698.18,ADGRG2,adhesion G protein-coupled receptor G2,0.6449,0.7254,0.0000,0.0407,0.1886
ENSG00000162729.14,IGSF8,immunoglobulin superfamily member 8,0.5198,0.6013,0.0000,0.0152,0.3422
ENSG00000166289.6,PLEKHF1,pleckstrin homology and FYVE domain containing 1,0.6264,0.7082,0.0000,0.0539,0.2073
ENSG00000117335.19,CD46,CD46 molecule,0.7003,0.7832,0.0031,0.0077,0.1324
ENSG00000099864.18,PALM,paralemmin,0.5005,0.5835,0.1299,0.0068,0.3878
ENSG00000116117.18,PARD3B,par-3 family cell polarity regulator beta,0.5131,0.5972,0.2164,0.0042,0.3803
ENSG00000116521.11,SCAMP3,secretory carrier membrane protein 3,0.6046,0.6891,0.0000,0.1086,0.1800
ENSG00000278318.5,ZNF229,zinc finger protein 229,0.5315,0.6167,0.0000,0.0723,0.2996
ENSG00000174332.5,GLIS1,GLIS family zinc finger 1,0.5483,0.6341,0.0000,0.0039,0.3254
ENSG00000175356.13,SCUBE2,"signal peptide, CUB domain and EGF like domain containing 2",0.5874,0.6786,0.2630,0.0856,0.1997
ENSG00000254369.6,HOXA-AS3,HOXA cluster antisense RNA 3,0.5743,0.6690,0.0000,0.0662,0.2531
ENSG00000168917.9,SLC35G2,solute carrier family 35 member G2,0.5739,0.6696,0.0512,0.0026,0.3145
ENSG00000204463.12,BAG6,BAG cochaperone 6,0.5375,0.6342,0.0000,0.2593,0.0693
ENSG00000127955.17,GNAI1,G protein subunit alpha i1,0.5116,0.6089,0.0137,0.0251,0.3299
ENSG00000147202.18,DIAPH2,diaphanous related formin 2,0.6482,0.7466,0.0000,0.0000,0.1986
ENSG00000075223.14,SEMA3C,semaphorin 3C,0.5230,0.6218,0.0000,0.0015,0.3311
ENSG00000213366.13,GSTM2,glutathione S-transferase mu 2,0.5406,0.6395,0.1197,0.0752,0.2560
ENSG00000281990.1,IGHV1-69-2,immunoglobulin heavy variable 1-69-2,0.5640,0.6633,0.0000,0.0711,0.2120
ENSG00000170876.7,TMEM43,transmembrane protein 43,0.5686,0.6684,0.0000,0.0159,0.3021
ENSG00000158769.18,F11R,F11 receptor,0.6038,0.7042,0.0000,0.0620,0.2024
ENSG00000169946.14,ZFPM2,"zinc finger protein, FOG family member 2",0.5281,0.6290,0.2586,0.0139,0.3431
ENSG00000074935.14,TUBE1,tubulin epsilon 1,0.5901,0.6913,0.0000,0.0663,0.2006
ENSG00000167778.9,SPRYD3,SPRY domain containing 3,0.5793,0.6813,0.0000,0.0143,0.2693
ENSG00000103932.12,RPAP1,RNA polymerase II associated protein 1,0.5641,0.6668,0.0000,0.0352,0.2884
ENSG00000144674.16,GOLGA4,golgin A4,0.5831,0.6878,0.0000,0.0434,0.2475
ENSG00000215244.3,LINC02649,long independently transcribed non-coding RNA 2649,0.5689,0.6765,0.0000,0.0687,0.2391
ENSG00000165055.15,METTL2B,"methyltransferase 2B, tRNA N3-cytidine",0.6125,0.7213,0.0000,0.0238,0.2073
ENSG00000130818.12,ZNF426,zinc finger protein 426,0.5356,0.6460,0.0000,0.0037,0.2957
ENSG00000106006.6,HOXA6,homeobox A6,0.5414,0.6527,0.0000,0.0000,0.2974
ENSG00000198130.16,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,0.5214,0.6349,0.0000,0.0006,0.3319
ENSG00000124104.19,SNX21,sorting nexin family member 21,0.5085,0.6222,0.0582,0.0156,0.3314
ENSG00000131069.20,ACSS2,acyl-CoA synthetase short chain family member 2,0.5464,0.6614,0.4267,0.0029,0.3134
ENSG00000226312.7,CFLAR-AS1,CFLAR antisense RNA 1,0.5432,0.6583,0.0000,0.1395,0.1658
ENSG00000182621.18,PLCB1,phospholipase C beta 1,0.5228,0.6409,0.0000,0.0291,0.3189
ENSG00000164111.15,ANXA5,annexin A5,0.5600,0.6785,0.0000,0.0019,0.2629
ENSG00000136367.14,ZFHX2,zinc finger homeobox 2,0.5914,0.7106,0.0000,0.0470,0.2034
ENSG00000090905.19,TNRC6A,trinucleotide repeat containing adaptor 6A,0.5753,0.6959,0.1343,0.0056,0.2690
ENSG00000247572.8,CKMT2-AS1,CKMT2 antisense RNA 1,0.5203,0.6455,0.0000,0.0337,0.3137
ENSG00000171368.12,TPPP,tubulin polymerization promoting protein,0.5660,0.6920,0.0502,0.0179,0.2574
ENSG00000170631.15,ZNF16,zinc finger protein 16,0.5113,0.6378,0.0000,0.0164,0.2334
ENSG00000196458.11,ZNF605,zinc finger protein 605,0.5016,0.6289,0.0000,0.0003,0.3448
ENSG00000273729.1,,,0.5782,0.7059,0.0000,0.0213,0.2051
ENSG00000169245.6,CXCL10,C-X-C motif chemokine ligand 10,0.5808,0.7093,0.0000,0.0564,0.0246
ENSG00000167785.9,ZNF558,zinc finger protein 558,0.5507,0.6800,0.0000,0.0690,0.2173
ENSG00000253456.1,,,0.5104,0.6398,0.0000,0.0744,0.2808
ENSG00000148180.19,GSN,gelsolin,0.5037,0.6376,0.0653,0.0025,0.3100
ENSG00000287431.1,RENO1,regulator of early neurogenesis 1,0.5919,0.7271,0.0000,0.0006,0.2186
ENSG00000122359.18,ANXA11,annexin A11,0.5325,0.6714,0.0723,0.1064,0.1990
ENSG00000128923.11,MINDY2,MINDY lysine 48 deubiquitinase 2,0.5831,0.7255,0.1361,0.0872,0.1251
ENSG00000111877.17,MCM9,minichromosome maintenance 9 homologous recombination repair factor,0.5210,0.6662,0.0436,0.0951,0.1842
ENSG00000117525.14,F3,"coagulation factor III, tissue factor",0.5013,0.6479,0.0380,0.0028,0.3121
ENSG00000148737.17,TCF7L2,transcription factor 7 like 2,0.5034,0.6504,0.1376,0.0019,0.3294
ENSG00000123360.12,PDE1B,phosphodiesterase 1B,0.5206,0.6707,0.0000,0.0052,0.3063
ENSG00000117280.13,RAB29,"RAB29, member RAS oncogene family",0.5273,0.6778,0.0000,0.0563,0.2154
ENSG00000053438.11,NNAT,neuronatin,0.5495,0.7024,0.1359,0.0244,0.2156
ENSG00000186448.15,ZNF197,zinc finger protein 197,0.5192,0.6724,0.0000,0.1004,0.1444
ENSG00000137413.16,TAF8,TATA-box binding protein associated factor 8,0.5406,0.6941,0.0000,0.0296,0.2236
ENSG00000125246.15,CLYBL,citramalyl-CoA lyase,0.5486,0.7033,0.2971,0.0433,0.1953
ENSG00000205213.14,LGR4,leucine rich repeat containing G protein-coupled receptor 4,0.5296,0.6876,0.0000,0.0255,0.2348
ENSG00000212743.2,LINC02656,long intergenic non-protein coding RNA 2656,0.5193,0.6780,0.0000,0.1365,0.1557
ENSG00000288066.1,,,0.5352,0.6958,0.0000,0.0523,0.2059
ENSG00000108515.17,ENO3,enolase 3,0.5197,0.6879,0.0000,0.0772,0.0763
