"AL365330.1",0,1,2,2,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"CEP104",41,143,74,92,123,96,136,11,48,30,60,28,143,32,61,22,8,14,2,37,142,15,17,6,127,52
"DFFB",2,45,21,13,9,15,25,1,7,10,6,4,50,4,1,2,1,1,0,12,21,1,3,0,29,9
"C1orf174",18,179,245,89,63,250,149,6,32,75,73,28,239,35,28,26,17,13,1,72,142,16,21,6,112,44
"LINC01134",0,1,5,1,1,2,2,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,0,1,1
"AJAP1",0,2,0,1,0,0,0,0,0,0,0,1,0,45,34,0,0,0,0,1,0,0,0,1,3,0
"NPHP4",4,26,17,18,7,17,20,0,10,2,19,5,12,7,11,5,1,2,0,10,34,6,3,1,19,12
"KCNAB2",82,408,26,13,23,17,268,5,8,126,242,78,449,8,152,50,67,36,8,283,851,79,65,49,98,54
"CHD5",0,1,1,3,2,0,2,0,0,0,0,0,4,0,0,0,1,1,0,1,2,0,0,0,0,0
"RPL22",2840,24194,13486,6516,4162,11515,18026,483,3495,1775,9921,1811,11284,2181,4986,1941,1398,856,72,16992,25594,648,2678,300,10654,6734
"AL031847.1",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0
"RNF207",1,26,0,16,0,1,0,1,7,2,4,0,0,5,1,1,0,0,0,0,3,1,1,0,128,0
"ICMT",9,71,141,89,11,248,80,1,57,10,46,25,46,48,29,11,7,3,0,53,175,3,23,0,91,9
"GPR153",1,1,2,85,1,1,2,0,0,14,6,2,38,5,10,3,1,1,0,0,9,0,0,1,5,0
"ACOT7",3,41,128,37,5,167,116,3,16,9,100,8,56,10,53,8,25,1,0,54,170,1,18,3,8,6
"AL031848.2",1,17,5,3,5,9,5,0,4,3,4,1,19,4,2,5,0,0,0,4,8,0,0,0,10,6
"HES2",1,1,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"ESPN",1,45,59,2,1,171,2,77,1,0,1,1,2,0,3,1,0,0,0,2,3,0,0,3,3,1
"TNFRSF25",9,869,34,25,3,3,39,5,41,30,12,56,90,3,4,20,0,38,0,8,7,5,14,9,24,7
"PLEKHG5",3,9,1,19,0,0,1,0,34,0,2,47,5,2,3,1,1,0,0,0,0,0,0,0,13,0
"NOL9",30,203,146,82,89,162,175,9,67,22,47,23,135,39,35,21,11,4,1,83,150,5,26,2,96,73
"TAS1R1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"ZBTB48",38,62,30,42,47,34,71,4,25,17,36,18,62,18,22,12,12,2,2,60,120,11,22,15,69,29
"KLHL21",25,101,61,99,25,85,51,9,43,27,88,58,81,32,51,7,8,9,3,38,384,21,16,42,159,9
"PHF13",11,23,42,101,15,167,50,1,29,7,12,7,30,22,9,6,4,1,0,8,40,4,16,1,43,11
"THAP3",10,47,68,83,39,102,47,15,14,12,16,9,35,20,19,8,4,4,0,14,53,3,5,1,108,18
